('85', 0.003409694077402821)
('59', 0.0036698606601272845)
('81', 0.0036953517493609916)
('37', 0.003808204291611451)
('89', 0.003922466019802269)
('84', 0.0040361226893249405)
('23', 0.0041238649201849106)
('94', 0.004248494970298276)
('50', 0.004258424498389761)
('7', 0.004273848080995158)
('63', 0.004309998434148299)
('72', 0.004365306323137556)
('86', 0.004471679051651847)
('45', 0.00449184797904931)
('88', 0.004599295028815573)
('76', 0.004859815991027171)
('20', 0.0049819307505051275)
('32', 0.0049935771019095024)
('11', 0.0050117730838915376)
('98', 0.005040874617744193)
('68', 0.0050461733364900955)
('46', 0.005111429353119453)
('58', 0.005137291860141465)
('36', 0.005313451081632748)
('12', 0.005315015800727388)
('33', 0.005326276068859905)
('49', 0.005535285716725916)
('19', 0.0055814923152135675)
('80', 0.005804612765096431)
('2', 0.005852105827359925)
('93', 0.0058549402825428115)
('16', 0.00589674738382055)
('47', 0.005984733859116159)
('91', 0.006172881445293059)
('21', 0.00623953432835061)
('17', 0.006247740872979933)
('97', 0.006281693188423462)
('28', 0.006345141173708296)
('34', 0.006377184491733381)
('43', 0.00639030032296304)
('6', 0.006420423774384912)
('15', 0.006422681240048262)
('8', 0.0065768308092415805)
('75', 0.006630283081532238)
('69', 0.006662382617066311)
('30', 0.007036506458340608)
('38', 0.007149725831456918)
('77', 0.007159630080848502)
('29', 0.007188798729058291)
('24', 0.007196366317784484)
('71', 0.007197806287268998)
('62', 0.007334856784389275)
('25', 0.00738568883868637)
('4', 0.0075665006170267165)
('10', 0.007600061465693586)
('95', 0.00761921494139323)
('67', 0.0076980922096723785)
('82', 0.007709084675366596)
('64', 0.007716361102885953)
('55', 0.007774615693709698)
('3', 0.007781010733095865)
('73', 0.00783931369228131)
('56', 0.007862970775542306)
('41', 0.008029471180976671)
('51', 0.00824412461234164)
('90', 0.008454269205003908)
('60', 0.008969338086489012)
('99', 0.008999735973098744)
('70', 0.010498258414476054)
('42', 0.010839256949250382)
('54', 0.011648611927748928)
('39', 0.012274798402607012)
('31', 0.012329815364026544)
('44', 0.012750399351623705)
('9', 0.012880554925616126)
('100', 0.012945393379138647)
('35', 0.012996479428914047)
('52', 0.013269576103087198)
('83', 0.013270473919444413)
('18', 0.013299155913355785)
('87', 0.013482673365692975)
('26', 0.014340349890604957)
('78', 0.014811319655825958)
('22', 0.01527299393893748)
('5', 0.01528910518383565)
('74', 0.01606624048199092)
('57', 0.017656985603557475)
('13', 0.018205208864880015)
('96', 0.01860420183631294)
('92', 0.01889475212924223)
('65', 0.0191172031365866)
('61', 0.019180292953299385)
('79', 0.01961275789481482)
('48', 0.025396889922979858)
('66', 0.029195323377588508)
('27', 0.02972014420140539)
('1', 0.030005979479788624)
('40', 0.0336300871897439)
('14', 0.034170906972591376)
('53', 0.035731202232671615)
